Title,Description,Category,PriorityScore
Playground equipment reported on highway,playground equipment on highway minor issue observed,Public Spaces,0.343
Explosion risk reported near market,explosion risk near market low impact problem,Public Safety,0.119
Street sign reported in residential area,street sign in residential area not urgent,Civic Services,0.314
Lighting system reported in public park,lighting system in public park not urgent,Street Lighting,0.136
Pipe burst reported at junction,pipe burst at junction no major inconvenience,Water & Drainage,0.108
Facility damage reported near market,facility damage near market no major inconvenience,Civic Services,0.341
Signboard reported near office area,signboard near office area minor issue observed,Civic Services,0.12
Dust reported in public park,dust in public park no major inconvenience,Environment,0.331
Hospital equipment reported on main road,hospital equipment on main road can be fixed later,Healthcare,0.293
Public park reported in public park,public park in public park can be fixed later,Public Spaces,0.139
Facility damage reported on main road,facility damage on main road not urgent,Civic Services,0.23
Garbage pile reported in public park,garbage pile in public park not urgent,Waste & Sanitation,0.191
Lighting system reported at junction,lighting system at junction can be fixed later,Street Lighting,0.384
Street sign reported at hospital,street sign at hospital can be fixed later,Civic Services,0.159
Street sign reported on main road,street sign on main road low impact problem,Civic Services,0.191
Public toilet reported in public park,public toilet in public park low impact problem,Civic Services,0.151
Ambulance delay reported on main road,ambulance delay on main road low impact problem,Healthcare,0.287
Medical waste reported near office area,medical waste near office area minor issue observed,Healthcare,0.348
Garbage pile reported near school,garbage pile near school low impact problem,Waste & Sanitation,0.331
Blocked road reported near office area,blocked road near office area no major inconvenience,Traffic & Transport,0.285
Trash heap reported in public park,trash heap in public park can be fixed later,Waste & Sanitation,0.293
Accident reported at junction,accident at junction low impact problem,Traffic & Transport,0.222
Park bench reported near school,park bench near school not urgent,Public Spaces,0.232
Public park reported at junction,public park at junction can be fixed later,Public Spaces,0.282
Building collapse reported near market,building collapse near market low impact problem,Public Safety,0.396
Fire reported on main road,fire on main road can be fixed later,Public Safety,0.254
Damaged road reported at junction,damaged road at junction no major inconvenience,Roads & Infra,0.137
Playground equipment reported on main road,playground equipment on main road minor issue observed,Public Spaces,0.115
Chemical spill reported at bus stop,chemical spill at bus stop not urgent,Environment,0.389
Lighting system reported near office area,lighting system near office area low impact problem,Street Lighting,0.194
Flickering light reported in public park,flickering light in public park no major inconvenience,Street Lighting,0.25
Accident reported near school,accident near school minor issue observed,Traffic & Transport,0.384
Municipal office issue reported at junction,municipal office issue at junction not urgent,Civic Services,0.275
Garbage pile reported in residential area,garbage pile in residential area no major inconvenience,Waste & Sanitation,0.279
Footpath reported in public park,footpath in public park minor issue observed,Public Spaces,0.354
Air pollution reported in residential area,air pollution in residential area low impact problem,Environment,0.21
Burning waste reported near school,burning waste near school no major inconvenience,Environment,0.115
Signboard reported near market,signboard near market routine maintenance needed,Civic Services,0.187
Chemical spill reported on highway,chemical spill on highway routine maintenance needed,Environment,0.184
Health hazard reported at hospital,health hazard at hospital not urgent,Healthcare,0.393
Burning waste reported near market,burning waste near market routine maintenance needed,Environment,0.382
Lamp post reported near office area,lamp post near office area routine maintenance needed,Street Lighting,0.22
Garbage pile reported near school,garbage pile near school not urgent,Waste & Sanitation,0.314
Bus stop reported on highway,bus stop on highway not urgent,Public Spaces,0.282
Signboard reported near market,signboard near market routine maintenance needed,Civic Services,0.196
Chemical spill reported in residential area,chemical spill in residential area routine maintenance needed,Environment,0.201
Facility damage reported on highway,facility damage on highway low impact problem,Civic Services,0.269
Park bench reported near market,park bench near market can be fixed later,Public Spaces,0.302
Chemical spill reported in residential area,chemical spill in residential area low impact problem,Environment,0.362
Litter reported on highway,litter on highway can be fixed later,Waste & Sanitation,0.39
Health hazard reported at junction,health hazard at junction low impact problem,Healthcare,0.115
Playground equipment reported in public park,playground equipment in public park low impact problem,Public Spaces,0.316
Air pollution reported at junction,air pollution at junction minor issue observed,Environment,0.272
Road crack reported near school,road crack near school no major inconvenience,Roads & Infra,0.194
Flickering light reported at junction,flickering light at junction no major inconvenience,Street Lighting,0.251
Clinic issue reported near school,clinic issue near school low impact problem,Healthcare,0.141
